0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,(State/UT-wise),,,,,,,,,
,,,Deaths due to Forces of Nature,,,Deaths due to Other Causes,,,Total Accidental Deaths,,,,,
Sl.,,,,,,,,,,,,,,
,State/UT,,,,,,,,,,,,,
No.,,,,,,,,,,,,,,
,,2020,2021,% Variation,2020,2021,% Variation,2020,2021,% Variation,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,
,STATES,,,,,,,,,,,,,
1,ANDHRA PRADESH,164,162,-1.2,14489,15882,9.6,14653,16044,9.5,,,,
2,ARUNACHAL PRADESH,36,12,-66.7,318,379,19.2,354,391,10.5,,,,
3,ASSAM,50,27,-46.0,4863,4497,-7.5,4913,4524,-7.9,,,,
4,BIHAR,1437,830,-42.2,13037,14575,11.8,14474,15405,6.4,,,,
5,CHHATTISGARH,270,244,-9.6,19787,17281,-12.7,20057,17525,-12.6,,,,
6,GOA,3,3,0.0,608,593,-2.5,611,596,-2.5,,,,
7,GUJARAT,155,125,-19.4,20644,21927,6.2,20799,22052,6.0,,,,
8,HARYANA,74,55,-25.7,14775,15437,4.5,14849,15492,4.3,,,,
9,HIMACHAL PRADESH,54,134,148.1,2697,2869,6.4,2751,3003,9.2,,,,
10,JHARKHAND,475,410,-13.7,6415,6959,8.5,6890,7369,7.0,,,,
11,KARNATAKA,137,154,12.4,24261,25124,3.6,24398,25278,3.6,,,,
12,KERALA,78,45,-42.3,12903,13841,7.3,12981,13886,7.0,,,,
13,MADHYA PRADESH,561,680,21.2,39957,39830,-0.3,40518,40510,0.0,,,,
14,MAHARASHTRA,459,761,65.8,57347,57481,0.2,57806,58242,0.8,,,,
15,MANIPUR,0,1,-,288,276,-4.2,288,277,-3.8,,,,
16,MEGHALAYA,22,16,-27.3,469,550,17.3,491,566,15.3,,,,
17,MIZORAM,4,2,-50.0,191,230,20.4,195,232,19.0,,,,
18,NAGALAND,12,1,-91.7,62,72,16.1,74,73,-1.4,,,,
19,ODISHA,1428,1746,22.3,17460,17917,2.6,18888,19663,4.1,,,,
20,PUNJAB,325,253,-22.2,9248,10192,10.2,9573,10445,9.1,,,,
21,RAJASTHAN,127,164,29.1,22257,23033,3.5,22384,23197,3.6,,,,
22,SIKKIM,19,8,-57.9,280,225,-19.6,299,233,-22.1,,,,
23,TAMIL NADU,71,130,83.1,18319,28156,53.7,18390,28286,53.8,,,,
24,TELANGANA,170,112,-34.1,11652,12985,11.4,11822,13097,10.8,,,,
25,TRIPURA,10,7,-30.0,684,631,-7.7,694,638,-8.1,,,,
26,UTTAR PRADESH,525,376,-28.4,31166,36145,16.0,31691,36521,15.2,,,,
27,UTTARAKHAND,73,89,21.9,1590,1688,6.2,1663,1777,6.9,,,,
28,WEST BENGAL,599,459,-23.4,14195,15239,7.4,14794,15698,6.1,,,,
,TOTAL (STATES),7338,7006,-4.5,359962,384014,6.7,367300,391020,6.5,,,,
,UNION TERRITORIES,,,,,,,,,,,,,
29,A & N ISLANDS,0,4,-,213,206,-3.3,213,210,-1.4,,,,
30,CHANDIGARH,3,0,-100.0,320,379,18.4,323,379,17.3,,,,
,D & N HAVELI AND,,,,,,,,,,,,,
31,,5,1,-80.0,250,273,9.2,255,274,7.5,,,,
,DAMAN & DIU,,,,,,,,,,,,,
32,DELHI (UT),2,0,-100.0,4114,3185,-22.6,4116,3185,-22.6,,,,
33,JAMMU & KASHMIR,48,52,8.3,1155,1334,15.5,1203,1386,15.2,,,,
34,LADAKH,9,63,600.0,93,90,-3.2,102,153,50.0,,,,
35,LAKSHADWEEP,0,0,-,3,6,100.0,3,6,100.0,,,,
36,PUDUCHERRY,0,0,-,882,917,4.0,882,917,4.0,,,,
,TOTAL (UTs),67,120,79.1,7030,6390,-9.1,7097,6510,-8.3,,,,
,TOTAL (ALL INDIA),7405,7126,-3.8,366992,390404,6.4,374397,397530,6.2,,,,
% Variation denotes percentage change in 2021 over 2020,,,,,,,,,,,,,,
,,,,,(State/UT-wise),,,,,,,,,
,,,Deaths due to Forces of Nature,,,Deaths due to Other Causes,,,Total Accidental Deaths,,,,,
Sl.,,,,,,,,,,,,,,
,State/UT,,,,,,,,,,,,,
No.,,,,,,,,,,,,,,
