0,1,2,3,4,5,6,7,8,9,10
,,,Table 1.2,,,,,,,
Incidence and Rate of Accidental Deaths due to Forces of Nature and Other Causes during 2022 (State/UT-wise),,,,,,,,,,
,,,,,Percentage,Projected,,,,
,,,Total Number of Accidental Deaths,,,,Rate of,,,
,,,,,Share in,Mid-Year,Accidental,,,
Sl. No.,State/UT,,,,,,,,,
,,,,,Total,,Deaths,,,
,,,,,,Population*,,,,
,,Forces of Nature,Other Causes,Total,,,,,,
,,,,,Deaths,(in Lakh),(Col.5/Col.7),,,
(1),(2),(3),(4),(5),(6),(7),(8),,,
STATES,,,,,,,,,,
,,,,,(State/UT-wise),,,,,
,,,Deaths due to Forces of Nature,,,Deaths due to Other Causes,,,Total Accidental Deaths,
Sl.,,,,,,,,,,
,State/UT,,,,,,,,,
No.,,,,,,,,,,
,,2021,2022,% Variation,2021,2022,% Variation,2021,2022,% Variation
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
,STATES,,,,,,,,,
1,ANDHRA PRADESH,162,142,-12.3,16641,16551,-0.5,16803,16693,-0.7
2,ARUNACHAL PRADESH,12,25,108.3,204,384,88.2,216,409,89.4
3,ASSAM,27,61,125.9,5031,4996,-0.7,5058,5057,0.0
4,BIHAR,830,953,14.8,9951,15072,51.5,10781,16025,48.6
5,CHHATTISGARH,244,248,1.6,19012,16645,-12.5,19256,16893,-12.3
6,GOA,3,4,33.3,692,692,0.0,695,696,0.1
7,GUJARAT,125,101,-19.2,24653,22309,-9.5,24778,22410,-9.6
8,HARYANA,55,95,72.7,14775,15946,7.9,14830,16041,8.2
9,HIMACHAL PRADESH,134,110,-17.9,2806,2724,-2.9,2940,2834,-3.6
10,JHARKHAND,410,464,13.2,6415,7308,13.9,6825,7772,13.9
11,KARNATAKA,154,140,-9.1,26133,28950,10.8,26287,29090,10.7
12,KERALA,45,29,-35.6,13623,15090,10.8,13668,15119,10.6
13,MADHYA PRADESH,680,914,34.4,39957,42812,7.1,40637,43726,7.6
14,MAHARASHTRA,761,445,-41.5,68620,66211,-3.5,69381,66656,-3.9
